iter	Passed	Remaining
347	565	1060
348	567	1057
349	568	1055
350	569	1053
351	571	1051
352	572	1049
353	573	1047
354	574	1044
355	576	1042
356	577	1040
357	579	1038
358	580	1036
359	581	1034
360	582	1031
361	584	1029
362	585	1027
363	587	1025
364	588	1023
365	589	1021
366	591	1019
367	592	1017
368	594	1015
369	595	1014
370	597	1012
371	598	1010
372	599	1008
373	601	1006
374	602	1004
375	604	1002
376	605	1000
377	606	998
378	608	996
379	609	994
380	611	993
381	612	991
382	614	989
383	615	987
384	616	985
385	618	983
386	619	981
387	621	979
388	622	977
389	624	976
390	625	974
391	626	972
392	627	969
393	629	968
394	630	966
395	632	964
396	634	963
397	635	961
398	637	959
399	638	958
400	640	956
401	641	955
402	643	953
403	644	951
404	646	949
405	647	947
406	648	944
407	650	943
408	651	941
409	652	939
410	654	937
411	655	935
412	656	933
413	658	931
414	659	929
415	661	928
416	662	926
417	663	924
418	665	922
419	666	920
420	667	918
421	669	916
422	670	914
423	671	912
424	673	910
425	674	909
426	676	907
427	677	905
428	679	903
429	680	901
430	681	900
431	683	898
432	684	896
433	685	894
434	687	892
435	688	891
436	690	889
437	691	887
438	692	885
439	694	883
440	695	881
441	696	879
442	698	877
443	699	875
444	700	874
445	702	872
446	703	870
447	705	868
448	706	867
449	708	865
450	709	863
451	710	861
452	712	860
453	713	858
454	715	856
455	716	855
456	718	853
457	719	851
458	721	849
459	722	848
460	723	846
461	725	844
462	726	842
463	728	841
464	729	839
465	731	837
466	732	835
467	733	834
